rowid;name;force;level;mechanic;equipment;primaryMuscles;secondaryMuscles;instructions;category;images;id
145;Cat Stretch;static;beginner;;;"[""lower back""]";"[""middle back""; ""traps""]";"[""Position yourself on the floor on your hands and knees.""; ""Pull your belly in and round your spine; lower back; shoulders; and neck; letting your head drop.""; ""Hold for 15 seconds.""]";stretching;"[""Cat_Stretch/0.jpg""; ""Cat_Stretch/1.jpg""]";Cat_Stretch
149;Chair Leg Extended Stretch;static;beginner;isolation;other;"[""hamstrings""]";"[""adductors""]";"[""Sit upright in a chair and grip the seat on the sides.""; ""Raise one leg; extending the knee; flexing the ankle as you do so.""; ""Slowly move that leg outward as far as you can; and then back to the center and down.""; ""Repeat for your other leg.""]";stretching;"[""Chair_Leg_Extended_Stretch/0.jpg""; ""Chair_Leg_Extended_Stretch/1.jpg""]";Chair_Leg_Extended_Stretch
150;Chair Lower Back Stretch;static;beginner;isolation;;"[""lats""]";"[""lower back""]";"[""Sit upright on a chair.""; ""Bend to one side with your arm over your head. You can hold onto the chair with your free hand.""; ""Hold for 10 seconds; and repeat for your other side.""]";stretching;"[""Chair_Lower_Back_Stretch/0.jpg""; ""Chair_Lower_Back_Stretch/1.jpg""]";Chair_Lower_Back_Stretch
152;Chair Upper Body Stretch;static;beginner;;other;"[""shoulders""]";"[""biceps""; ""chest""]";"[""Sit on the edge of a chair; gripping the back of it.""; ""Straighten your arms; keeping your back straight; and pull your upper body forward so you feel a stretch. Hold for 20-30 seconds.""]";stretching;"[""Chair_Upper_Body_Stretch/0.jpg""; ""Chair_Upper_Body_Stretch/1.jpg""]";Chair_Upper_Body_Stretch
153;Chest And Front Of Shoulder Stretch;static;beginner;isolation;other;"[""chest""]";"[""shoulders""]";"[""Start off by standing with your legs together; holding a bodybar or a broomstick.""; ""Take a slightly wider than shoulder width grip on the pole and hold it in front of you with your palms facing down.""; ""Carefully lift the pole up and behind your head.""]";stretching;"[""Chest_And_Front_Of_Shoulder_Stretch/0.jpg""; ""Chest_And_Front_Of_Shoulder_Stretch/1.jpg""]";Chest_And_Front_Of_Shoulder_Stretch
158;Chest Stretch on Stability Ball;static;beginner;isolation;exercise ball;"[""chest""]";[];"[""Get on your hands and knees next to an exercise ball.""; ""Place your elbows on top of the ball; keeping your arm out to your side. This will be your starting position.""; ""Lower your torso towards the floor; keeping your elbow on top of the ball. Hold the stretch for 20-30 seconds; and repeat with the other arm.""]";stretching;"[""Chest_Stretch_on_Stability_Ball/0.jpg""; ""Chest_Stretch_on_Stability_Ball/1.jpg""]";Chest_Stretch_on_Stability_Ball
159;Child's Pose;static;beginner;;;"[""lower back""]";"[""glutes""; ""middle back""]";"[""Get on your hands and knees; walk your hands in front of you.""; ""Lower your buttocks down to sit on your heels. Let your arms drag along the floor as you sit back to stretch your entire spine.""; ""Once you settle onto your heels; bring your hands next to your feet and relax. \""breathe\"" into your back. Rest your forehead on the floor. Avoid this position if you have knee problems.""]";stretching;"[""Childs_Pose/0.jpg""; ""Childs_Pose/1.jpg""]";Childs_Pose
161;Chin To Chest Stretch;static;beginner;;;"[""neck""]";"[""traps""]";"[""Get into a seated position on the floor.""; ""Place both hands at the rear of your head; fingers interlocked; thumbs pointing down and elbows pointing straight ahead. Slowly pull your head down to your chest. Hold for 20-30 seconds.""]";stretching;"[""Chin_To_Chest_Stretch/0.jpg""; ""Chin_To_Chest_Stretch/1.jpg""]";Chin_To_Chest_Stretch
186;Crucifix;static;beginner;isolation;other;"[""shoulders""]";"[""forearms""]";"[""In the crucifix; you statically hold weights out to the side for time. While the event can be practiced using dumbbells; it is best to practice with one of the various implements used; such as axes and hammers; as it feels different.""; ""Begin standing; and raise your arms out to the side holding the implements. Your arms should be parallel to the ground. In competition; judges or sensors are used to let you know when you break parallel. Hold for as long as you can. Typically; the weights should be heavy enough that you fail in 30-60 seconds.""]";strongman;"[""Crucifix/0.jpg""; ""Crucifix/1.jpg""]";Crucifix
191;Dancer's Stretch;static;beginner;;;"[""lower back""]";"[""abductors""; ""glutes""]";"[""Sit up on the floor.""; ""Cross your right leg over your left; keeping the knee bent. Your left leg is straight and down on the floor.""; ""Place your left arm on your right leg and your right hand on the floor.""; ""Rotate your upper body to the right; and hold for 10-20 seconds. Switch sides.""]";stretching;"[""Dancers_Stretch/0.jpg""; ""Dancers_Stretch/1.jpg""]";Dancers_Stretch
218;Downward Facing Balance;static;intermediate;isolation;exercise ball;"[""glutes""]";"[""abdominals""; ""hamstrings""]";"[""Lie facedown on top of an exercise ball.""; ""While resting on your stomach on the ball; walk your hands forward along the floor and lift your legs; extending your elbows and knees.""]";strength;"[""Downward_Facing_Balance/0.jpg""; ""Downward_Facing_Balance/1.jpg""]";Downward_Facing_Balance
257;Elbows Back;static;beginner;isolation;;"[""chest""]";"[""shoulders""]";"[""Stand up straight.""; ""Place both hands on your lower back; fingers pointing downward and elbows out.""; ""Then gently pull your elbows back aiming to touch them together.""]";stretching;"[""Elbows_Back/0.jpg""; ""Elbows_Back/1.jpg""]";Elbows_Back
279;Foot-SMR;static;intermediate;;other;"[""calves""]";[];"[""This exercise stretches the fascia of the muscles in the feet. Start off seated with your shoes removed. Using a foot roller or a similar object; such as a small section of pvc pipe; place your foot against the roller across the arch of your foot. This will be your starting position.""; ""Press down firmly; rolling across the arch of your foot. Hold for 10-30 seconds; and then switch feet.""]";stretching;"[""Foot-SMR/0.jpg""; ""Foot-SMR/1.jpg""]";Foot-SMR
306;Groin and Back Stretch;static;intermediate;compound;;"[""adductors""]";[];"[""Sit on the floor with your knees bent and feet together.""; ""Interlock your fingers behind your head. This will be your starting position.""; ""Curl downwards; bringing your elbows to the inside of your thighs. After a brief pause; return to the starting position with your head up and your back straight. Repeat for 10-20 repetitions.""]";stretching;"[""Groin_and_Back_Stretch/0.jpg""; ""Groin_and_Back_Stretch/1.jpg""]";Groin_and_Back_Stretch
311;Hamstring-SMR;static;beginner;isolation;foam roll;"[""hamstrings""]";[];"[""In a seated position; extend your legs over a foam roll so that it is position on the back of the upper legs. Place your hands to the side or behind you to help support your weight. This will be your starting position.""; ""Using your hands; lift your hips off of the floor and shift your weight on the foam roll to one leg. Relax the hamstrings of the leg you are stretching.""; ""Roll over the foam from below the hip to above the back of the knee; pausing at points of tension for 10-30 seconds. Repeat for the other leg.""]";stretching;"[""Hamstring-SMR/0.jpg""; ""Hamstring-SMR/1.jpg""]";Hamstring-SMR
312;Hamstring Stretch;static;beginner;isolation;;"[""hamstrings""]";[];"[""Lie on your back with one leg extended above you; with the hip at ninety degrees. Keep the other leg flat on the floor.""; ""Loop a belt; band; or rope over the ball of your foot. This will be your starting position.""; ""Pull on the belt to create tension in the calves and hamstrings. Hold this stretch for 10-30 seconds; and repeat with the other leg.""]";stretching;"[""Hamstring_Stretch/0.jpg""; ""Hamstring_Stretch/1.jpg""]";Hamstring_Stretch
328;Hug A Ball;static;beginner;isolation;exercise ball;"[""lower back""]";"[""calves""; ""glutes""]";"[""Seat yourself on the floor.""; ""Straddle an exercise ball between both legs and lower your hips down toward the floor.""; ""Hug your arms around the ball to support your body. Adjust your legs so that your feet are flat on the floor and your knees line up over your ankles. Keep a good grip on the ball so it doesn't roll away from you and send you back onto your buttocks.""]";stretching;"[""Hug_A_Ball/0.jpg""; ""Hug_A_Ball/1.jpg""]";Hug_A_Ball
329;Hug Knees To Chest;static;beginner;;;"[""lower back""]";"[""glutes""]";"[""Lie down on your back and pull both knees up to your chest.""; ""Hold your arms under the knees; not over (that would put to much pressure on your knee joints).""; ""Slowly pull the knees toward your shoulders. This also stretches your buttocks muscles.""]";stretching;"[""Hug_Knees_To_Chest/0.jpg""; ""Hug_Knees_To_Chest/1.jpg""]";Hug_Knees_To_Chest
333;IT Band and Glute Stretch;static;intermediate;;other;"[""abductors""]";[];"[""Loop a belt; rope; or band around one of your feet; and swing that leg across your body to the opposite side; keeping the leg extended as you lay on the ground. This will be your starting position.""; ""Keeping your foot off of the floor; pull on the belt; using the tension to pull the toes up. Hold for 10-20 seconds; and repeat on the other side.""]";stretching;"[""IT_Band_and_Glute_Stretch/0.jpg""; ""IT_Band_and_Glute_Stretch/1.jpg""]";IT_Band_and_Glute_Stretch
334;Iliotibial Tract-SMR;static;intermediate;isolation;foam roll;"[""abductors""]";[];"[""Lay on your side; with the bottom leg placed onto a foam roller between the hip and the knee. The other leg can be crossed in front of you.""; ""Place as much of your weight as is tolerable onto your bottom leg; there is no need to keep your bottom leg in contact with the ground. Be sure to relax the muscles of the leg you are stretching.""; ""Roll your leg over the foam from you hip to your knee; pausing for 10-30 seconds at points of tension. Repeat with the opposite leg.""]";stretching;"[""Iliotibial_Tract-SMR/0.jpg""; ""Iliotibial_Tract-SMR/1.jpg""]";Iliotibial_Tract-SMR
353;Intermediate Groin Stretch;static;intermediate;isolation;other;"[""hamstrings""]";[];"[""Lie on your back with your legs extended. Loop a belt; rope; or band around one of your feet; and swing that leg as far to the side as you can. This will be your starting position.""; ""Pull gently on the belt to create tension in your groin and hamstring muscles. Hold for 10-20 seconds; and repeat on the other side.""]";stretching;"[""Intermediate_Groin_Stretch/0.jpg""; ""Intermediate_Groin_Stretch/1.jpg""]";Intermediate_Groin_Stretch
354;Intermediate Hip Flexor and Quad Stretch;static;intermediate;compound;other;"[""quadriceps""]";[];"[""Lie face down on the floor; with a rope; belt; or band looped around one foot.""; ""Flex the knee and extend the hip of the leg to be stretched; using both hands to pull on the belt. Your knee and your hip should come off of the floor; creating tension in the hip flexors and quadriceps. Hold the stretch for 10-20 seconds; and repeat on the other leg.""]";stretching;"[""Intermediate_Hip_Flexor_and_Quad_Stretch/0.jpg""; ""Intermediate_Hip_Flexor_and_Quad_Stretch/1.jpg""]";Intermediate_Hip_Flexor_and_Quad_Stretch
360;Isometric Chest Squeezes;static;beginner;compound;body only;"[""chest""]";"[""shoulders""; ""triceps""]";"[""While either seating or standing; bend your arms at a 90-degree angle and place the palms of your hands together in front of your chest. Tip: Your hands should be open with the palms together and fingers facing forward (perpendicular to your torso).""; ""Push both hands against each other as you contract your chest. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction.""; ""Hold for the recommended number of seconds.""; ""Now release the tension slowly.""; ""Rest for the recommended amount of time and repeat.""]";plyometrics;"[""Isometric_Chest_Squeezes/0.jpg""; ""Isometric_Chest_Squeezes/1.jpg""]";Isometric_Chest_Squeezes
361;Isometric Neck Exercise - Front And Back;static;beginner;isolation;body only;"[""neck""]";[];"[""With your head and neck in a neutral position (normal position with head erect facing forward); place both of your hands on the front side of your head.""; ""Now gently push forward as you contract the neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction.""; ""Hold for the recommended number of seconds.""; ""Now release the tension slowly.""; ""Rest for the recommended amount of time and repeat with your hands placed on the back side of your head.""]";strength;"[""Isometric_Neck_Exercise_-_Front_And_Back/0.jpg""; ""Isometric_Neck_Exercise_-_Front_And_Back/1.jpg""]";Isometric_Neck_Exercise_-_Front_And_Back
362;Isometric Neck Exercise - Sides;static;beginner;isolation;body only;"[""neck""]";[];"[""With your head and neck in a neutral position (normal position with head erect facing forward); place your left hand on the left side of your head.""; ""Now gently push towards the left as you contract the left neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction.""; ""Hold for the recommended number of seconds.""; ""Now release the tension slowly.""; ""Rest for the recommended amount of time and repeat with your right hand placed on the right side of your head.""]";strength;"[""Isometric_Neck_Exercise_-_Sides/0.jpg""; ""Isometric_Neck_Exercise_-_Sides/1.jpg""]";Isometric_Neck_Exercise_-_Sides
388;Knee Across The Body;static;beginner;;;"[""glutes""]";"[""abductors""; ""lower back""]";"[""Lie down on the floor with your right leg straight. Bend your left leg and lower it across your body; holding the knee down toward the floor with your right hand. (The knee doesn't need to touch the floor if you're tight.)""; ""Place your left arm comfortably beside you and turn your head to the left. Imagine you have a weight tied to your tailbone. let your tailbone fall back toward the floor as your chest reaches in the opposite direction to stretch your lower back. Switch sides.""]";stretching;"[""Knee_Across_The_Body/0.jpg""; ""Knee_Across_The_Body/1.jpg""]";Knee_Across_The_Body
395;Kneeling Forearm Stretch;static;beginner;isolation;;"[""forearms""]";[];"[""Start by kneeling on a mat with your palms flat and your fingers pointing back toward your knees.""; ""Slowly lean back keeping your palms flat on the floor until you feel a stretch in your wrists and forearms. Hold for 20-30 seconds.""]";stretching;"[""Kneeling_Forearm_Stretch/0.jpg""; ""Kneeling_Forearm_Stretch/1.jpg""]";Kneeling_Forearm_Stretch
397;Kneeling Hip Flexor;static;beginner;isolation;;"[""quadriceps""]";"[""quadriceps""]";"[""Kneel on a mat and bring your right knee up so the bottom of your foot is on the floor and extend your left leg out behind you so the top of your foot is on the floor.""; ""Shift your weight forward until you feel a stretch in your hip. Hold for 15 seconds; then repeat for your other side.""]";stretching;"[""Kneeling_Hip_Flexor/0.jpg""; ""Kneeling_Hip_Flexor/1.jpg""]";Kneeling_Hip_Flexor
407;Latissimus Dorsi-SMR;static;beginner;isolation;foam roll;"[""lats""]";[];"[""While lying on the floor; place a foam roll under your back and to one side; just behind your arm pit. This will be your starting position.""; ""Keep the arm of the side being stretched behind and to the side of you as you shift your weight onto your lats; keeping your upper body off of the ground. Hold for 10-30 seconds; and switch sides.""]";stretching;"[""Latissimus_Dorsi-SMR/0.jpg""; ""Latissimus_Dorsi-SMR/1.jpg""]";Latissimus_Dorsi-SMR
427;Looking At Ceiling;static;beginner;isolation;;"[""quadriceps""]";[];"[""Kneel on the floor; holding your heels with both hands.""; ""Lift your buttocks up and forward while bringing your head back to look up at the ceiling; to give an arch in your back.""]";stretching;"[""Looking_At_Ceiling/0.jpg""; ""Looking_At_Ceiling/1.jpg""]";Looking_At_Ceiling
431;Lower Back-SMR;static;beginner;;foam roll;"[""lower back""]";[];"[""In a seated position; place a foam roll under your lower back. Cross your arms in front of you and protract your shoulders. This will be your starting position.""; ""Raise your hips off of the floor and lean back; keeping your weight on your lower back. Now shift your weight slightly to one side; keeping your weight off of the spine and on the muscles to the side of it. Roll over your lower back; holding points of tension for 10-30 seconds. Repeat on the other side.""]";stretching;"[""Lower_Back-SMR/0.jpg""; ""Lower_Back-SMR/1.jpg""]";Lower_Back-SMR
432;Lower Back Curl;static;beginner;;body only;"[""abdominals""]";[];"[""Lie on your stomach with your arms out to your sides. This will be your starting position.""; ""Using your lower back muscles; extend your spine lifting your chest off of the ground. Do not use your arms to push yourself up. Keep your head up during the movement. Repeat for 10-20 repetitions.""]";stretching;"[""Lower_Back_Curl/0.jpg""; ""Lower_Back_Curl/1.jpg""]";Lower_Back_Curl
435;Lying Bent Leg Groin;static;expert;;other;"[""adductors""]";[];"[""Lie on your back with your knees bent and the soles of the feet pressed together. Have your partner hold your knees. This will be your starting position.""; ""Attempt to squeeze your knees together; while your partner prevents any movement from occurring.""; ""After 10-20 seconds; relax your muscles as your partner gently pushes your knees towards the floor. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching.""]";stretching;"[""Lying_Bent_Leg_Groin/0.jpg""; ""Lying_Bent_Leg_Groin/1.jpg""]";Lying_Bent_Leg_Groin
441;Lying Crossover;static;expert;;body only;"[""abductors""]";[];"[""Lie on your back with your legs extended.""; ""Cross one leg over your body with the knee bent; attempting to touch the knee to the ground. Your partner should kneel beside you; holding your shoulder down with one hand and controlling the crossed leg with the other. this will be your starting position.""; ""Attempt to raise the bent knee off of the ground as your partner prevents any actual movement.""; ""After 10-20 seconds; relax the leg as your partner gently presses the knee towards the floor. Repeat with the other side.""]";stretching;"[""Lying_Crossover/0.jpg""; ""Lying_Crossover/1.jpg""]";Lying_Crossover
445;Lying Glute;static;expert;;body only;"[""glutes""]";"[""abductors""]";"[""Lie on your back with your partner kneeling beside you.""; ""Flex the hip of one leg; raising it off of the floor. Rotate the leg so the foot is over the opposite hip; the lower leg perpendicular to your body. Your partner should hold the knee and ankle in place. This will be your starting position.""; ""Attempt to push your leg towards your partner; who should be preventing any actual movement of the leg.""; ""After 10-20 seconds; completely relax as your partner gently pushes the ankle and knee towards your chest. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching.""]";stretching;"[""Lying_Glute/0.jpg""; ""Lying_Glute/1.jpg""]";Lying_Glute
446;Lying Hamstring;static;expert;;other;"[""hamstrings""]";"[""calves""]";"[""Lie on your back with your legs extended. Your partner should be kneeling beside you. Raise one leg up towards the ceiling and have your partner hold the ankle. Your partner can use their shoulder to brace your leg if necessary. This will be your starting position.""; ""With your partner holding your leg in place; attempt to flex the knee; contracting the hamstrings for 10-20 seconds.""; ""Then relax your leg; allowing your partner to gently push the leg towards your head. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching. Switch sides once complete.""]";stretching;"[""Lying_Hamstring/0.jpg""; ""Lying_Hamstring/1.jpg""]";Lying_Hamstring
465;Middle Back Stretch;static;beginner;isolation;;"[""middle back""]";"[""abdominals""; ""lats""; ""lower back""]";"[""Stand so your feet are shoulder width apart and your hands are on your hips.""; ""Twist at your waist until you feel a stretch. Hold for 10 to 15 seconds; then twist to the other side.""]";stretching;"[""Middle_Back_Stretch/0.jpg""; ""Middle_Back_Stretch/1.jpg""]";Middle_Back_Stretch
476;Neck-SMR;static;intermediate;;other;"[""neck""]";[];"[""Using a muscle roller or a rolling pin; place the roller behind your head and against your neck. Make sure that you do not place the roller directly against the spine; but turned slightly so that the roller is pressed against the muscles to either side of the spine. This will be your starting position.""; ""Starting at the top of your neck; slowly roll down the muscles of your neck; pausing at points of tension for 10-30 seconds.""]";stretching;"[""Neck-SMR/0.jpg""; ""Neck-SMR/1.jpg""]";Neck-SMR
481;On-Your-Back Quad Stretch;static;beginner;isolation;other;"[""quadriceps""]";[];"[""Lie on a flat bench or step; and hang one leg and arm over the side.""; ""Bend the knee and hold the top of the foot. As you do this; be careful not to arch your lower back.""; ""Pull the belly button to the spine to stay in neutral. Press your foot down and into your hand. To add the hip stretch; lift the hip of the leg you're holding up toward the ceiling.""; ""Switch sides.""]";stretching;"[""On-Your-Back_Quad_Stretch/0.jpg""; ""On-Your-Back_Quad_Stretch/1.jpg""]";On-Your-Back_Quad_Stretch
482;On Your Side Quad Stretch;static;beginner;isolation;;"[""quadriceps""]";[];"[""Start off by lying on your right side; with your right knee bent at a 90-degree angle resting on the floor in front of you (this stabilizes the torso).""; ""Bend your left knee behind you and hold your left foot with your left hand. To stretch your hip flexor; press your left hip forward as you push your left foot back into your hand. Switch sides.""]";stretching;"[""On_Your_Side_Quad_Stretch/0.jpg""; ""On_Your_Side_Quad_Stretch/1.jpg""]";On_Your_Side_Quad_Stretch
506;One Arm Against Wall;static;beginner;isolation;;"[""lats""]";[];"[""From a standing position; place a bent arm against a wall or doorway.""; ""Slowly lean toward your arm until you feel a stretch in your lats.""]";stretching;"[""One_Arm_Against_Wall/0.jpg""; ""One_Arm_Against_Wall/1.jpg""]";One_Arm_Against_Wall
514;One Half Locust;static;beginner;;;"[""quadriceps""]";"[""abdominals""; ""biceps""; ""chest""]";"[""Lie facedown on the floor.""; ""Put your left hand under your left hipbone to pad your hip and pubic bone.""; ""Bend your right knee so you can hold the foot in your right hand.""; ""Lift the foot in the air and simultaneously lift your shoulders off the floor. This also stretches the right hip flexor and the chest and shoulders. Switch sides. If it doesn't bother your back; you can try it with both arms and legs at the same time.""]";stretching;"[""One_Half_Locust/0.jpg""; ""One_Half_Locust/1.jpg""]";One_Half_Locust
515;One Handed Hang;static;beginner;;other;"[""lats""]";"[""biceps""]";"[""Grab onto a chinup bar with one hand; using a pronated grip. Keep your feet on the floor or a step. Allow the majority of your weight to hang from that hand; while keeping your feet on the ground. Hold for 10-20 seconds and switch sides.""]";stretching;"[""One_Handed_Hang/0.jpg""; ""One_Handed_Hang/1.jpg""]";One_Handed_Hang
516;One Knee To Chest;static;beginner;compound;;"[""glutes""]";"[""hamstrings""; ""lower back""]";"[""Start off by lying on the floor.""; ""Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap.""; ""Gently tug that knee toward your nose.""; ""Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg.""]";stretching;"[""One_Knee_To_Chest/0.jpg""; ""One_Knee_To_Chest/1.jpg""]";One_Knee_To_Chest
521;Overhead Lat;static;expert;;other;"[""lats""]";"[""triceps""]";"[""Sit upright on the floor with your partner behind you. Raise one arm straight up; and flex the elbow; attempting to touch your hand to your back. Your parner should hold your tricep and wrist. This will be your starting position.""; ""Attempt to pull your upper arm to your side as your partner prevents you from doing actually doing so.""; ""After 10-20 seconds; relax the arm and allow your partner to further stretch the lat by applying gentle pressure to the tricep. Hold for 10-20 seconds; and then switch sides.""]";stretching;"[""Overhead_Lat/0.jpg""; ""Overhead_Lat/1.jpg""]";Overhead_Lat
524;Overhead Stretch;static;beginner;compound;;"[""abdominals""]";"[""chest""; ""forearms""; ""lats""; ""triceps""]";"[""Standing straight up; lace your fingers together and open your palms to the ceiling. Keep your shoulders down as you extend your arms up.""; ""To create a full torso stretch; pull your tailbone down and stabilize your torso as you do this. Stretch the muscles on both the front and the back of the torso.""]";stretching;"[""Overhead_Stretch/0.jpg""; ""Overhead_Stretch/1.jpg""]";Overhead_Stretch
525;Overhead Triceps;static;expert;;body only;"[""triceps""]";"[""lats""]";"[""Sit upright on the floor with your partner behind you. Raise one arm straight up; and flex the elbow; attempting to touch your hand to your back. Your parner should hold your elbow and wrist. This will be your starting position.""; ""Attempt to extend the arm straight into the air as your partner prevents you from doing actually doing so.""; ""After 10-20 seconds; relax the arm and allow your partner to further stretch the tricep by applying gentle pressure to the wrist. Hold for 10-20 seconds; and then switch sides.""]";stretching;"[""Overhead_Triceps/0.jpg""; ""Overhead_Triceps/1.jpg""]";Overhead_Triceps
533;Pelvic Tilt Into Bridge;static;intermediate;compound;;"[""lower back""]";[];"[""Lie down with your feet on the floor; heels directly under your knees.""; ""Lift only your tailbone to the ceiling to stretch your lower back. (Don't lift the entire spine yet.) Pull in your stomach.""; ""To go into a bridge; lift the entire spine except the neck.""]";stretching;"[""Pelvic_Tilt_Into_Bridge/0.jpg""; ""Pelvic_Tilt_Into_Bridge/1.jpg""]";Pelvic_Tilt_Into_Bridge
534;Peroneals-SMR;static;intermediate;;foam roll;"[""calves""]";[];"[""Lay on your side; supporting your weight on your forearm and on a foam roller placed on the outside of your lower leg. Your upper leg can either be on top of your lower leg; or you can cross it in front of you. This will be your starting position.""; ""Raise your hips off of the ground and begin to roll from below the knee to above the ankle on the side of your leg; pausing at points of tension for 10-30 seconds. Repeat on the other leg.""]";stretching;"[""Peroneals-SMR/0.jpg""; ""Peroneals-SMR/1.jpg""]";Peroneals-SMR
