rowid;name;force;level;mechanic;equipment;primaryMuscles;secondaryMuscles;instructions;category;images;id
15;Váltott Oldalemelés;push;beginner;isolation;kézisúlyzó;[2];[];"[Álló helyzetben; tartson egy pár súlyzót az oldalán. „; „A könyökét kissé hajlítva tartva; emelje fel a súlyokat közvetlenül előtted a vállmagasságig; kerülje a lengést vagy csalást. „; „Helyezze vissza a súlyokat az oldaladra. „; „A következő ismétléskor emelje fel a súlyokat oldalra, emelje ki őket oldaladra, körülbelül vállmagasságig. „; „Helyezze vissza a súlyokat a kiindulási helyzetbe, és folytassa váltakozva elöl és oldalra.]";strength;"[""Alternating_Deltoid_Raise/0.jpg""; ""Alternating_Deltoid_Raise/1.jpg""]";Alternating_Deltoid_Raise
16;Váltott Padlónyomás;push;beginner;compound;Kettlebell;[4];"[3; 2; 6]";"[Feküdjön a padlón két vízforralóval a válla mellett. „; „Helyezze az egyiket a mellkasára, majd a másikat; fogja meg a vízforralót a fogantyún úgy, hogy a tenyerével előre nézzen. „; „Nyújtsa ki mindkét karját úgy, hogy a kettlebelleket a mellkasod fölött tartsák. Engedje le az egyik vízforralót; vigye a mellkasához, és fordítsa el a csuklóját a zárt kettlebell irányába. „; „Emelje fel a vízforralót, és ismételje meg az ellenkező oldalon.]";strength;"[""Alternating_Floor_Press/0.jpg""; ""Alternating_Floor_Press/1.jpg""]";Alternating_Floor_Press
17;Váltott Lógó Clean;pull;intermediate;compound;Kettlebell;[5];"[7; 10; 12; 13; 11; 14]";"[Helyezzen két vízforralót a lábad közé. A kiindulási helyzetbe kerüléshez nyomja vissza a fenekét, és nézzen egyenesen előre. „; „Tisztítsa meg az egyik vízforralót a vállához, és tartsa lógó helyzetben a másik kettlebell-t. Tisztítsa meg a kettlebell-et a vállához úgy, hogy a lábakon és a csípőn keresztül húzza, miközben a kettlebellet a válla felé húzza. Forgassa el a csuklóját, miközben ezt teszi. „; „Engedje le a megtisztított vízforralót lógó helyzetbe, és tisztítsa meg az alternatív vízforralót. Ismételje meg. ]";strength;"[""Alternating_Hang_Clean/0.jpg""; ""Alternating_Hang_Clean/1.jpg""]";Alternating_Hang_Clean
18;Váltott Kettlebell Nyomás;push;intermediate;compound;Kettlebell;[2];[6];"[Tisztítsa meg két vízforralót a vállához. Tisztítsa meg a kettlebelleket a válláig a lábakon és a csípőn keresztül nyújtva, miközben a kettlebelleket a válla felé húzza. Forgassa el a csuklóját, miközben ezt teszi. „; „Nyomja meg az egyiket közvetlenül a fej felé a könyökön keresztül; úgy forgassa el, hogy a tenyér előre nézzen, miközben a másik vízforralót álló helyzetben tartja. „; „Engedje le a préselt vízforralót a kiindulási helyzetbe, és azonnal nyomja meg a másik karjával.]";strength;"[""Alternating_Kettlebell_Press/0.jpg""; ""Alternating_Kettlebell_Press/1.jpg""]";Alternating_Kettlebell_Press
19;Váltott Kettlebell Evezés;pull;intermediate;isolation;Kettlebell;[9];"[7; 8]";"[Helyezzen két vízforralót a lába elé. Hajlítsa meg kissé a térdét, és nyomja ki a fenekét, amennyire csak lehetséges. Ahogy meghajolsz, hogy kiindulási helyzetbe kerülj, fogd meg mindkét vízforralót a fogantyúknál. „; „Húzza le az egyik vízforralót a padlóról, miközben ragasztja a másik kettlebellt. Húzza vissza a munkalap válllapátját; miközben hajlítja a könyöket, húzza a kettlebellet a gyomra vagy a bordájába. „; „Engedje le a vízforralót a munkakarban, és ismételje meg a másik karjával.]";strength;"[""Alternating_Kettlebell_Row/0.jpg""; ""Alternating_Kettlebell_Row/1.jpg""]";Alternating_Kettlebell_Row
20;Váltott Renegade Evezés;pull;expert;compound;Kettlebell;[9];"[3; 7; 4; 8; 6]";"[Helyezzen két vízforralót a padlóra a vállszélességben egymástól. Helyezze magát a lábujjaira és a kezére úgy, mintha pushup-ot tenne; egyenesen és kinyújtott testtel. Használja a vízforralók fogantyúit a felsőtest támogatásához. Előfordulhat, hogy támasztás érdekében szélesre kell helyeznie a lábát. „; „Nyomja az egyik vízforralót a padlóba, és a másik vízforralót vonja be; húzza vissza a munkalap válllapátját, miközben hajlítja a könyöket; húzza oldalára. „; „Ezután engedje le a vízforralót a padlóra, és indítsa el a vízforralót az ellenkező kézben. Ismételje meg több ismétlést. ]";strength;"[""Alternating_Renegade_Row/0.jpg""; ""Alternating_Renegade_Row/1.jpg""]";Alternating_Renegade_Row
21;Bokakörzés;pull;beginner;isolation;;[10];[];"[Használjon erős tárgyat, például guggoló állványt, hogy megtartsa magát. „; „Emelje fel a jobb lábat a levegőbe (mindössze 2 hüvelykre a padlótól), és körkörös mozgást hajtson végre a nagy lábujjjal. Tegyél úgy, mintha egy nagy kört rajzolsz vele. Tipp: Egy kör egyenlő 1 ismétléssel. Lélegezzen normálisan a mozgás végrehajtása közben. „; „Ha végeztél a jobb lábbal; ismételje meg a bal lábbal.]";stretching;"[""Ankle_Circles/0.jpg""; ""Ankle_Circles/1.jpg""]";Ankle_Circles
22;Boka a Térden;static;beginner;;;[13];[];"[Fekvő helyzetből; hajlítsa meg térdét, és tartsa a lábát a padlón. „; „Helyezze az egyik lábának bokáját az ellenkező térdére. „; „Fogja meg az alsó láb combját vagy térdét, és húzza mindkét lábát a mellkasba. Lazítsa meg a nyakát és a vállakat. Tartsa 10-20 másodpercig, majd váltson oldalt. ]";stretching;"[""Ankle_On_The_Knee/0.jpg""; ""Ankle_On_The_Knee/1.jpg""]";Ankle_On_The_Knee
23;Elülső Sípcsontizom SMR;static;intermediate;;egyéb;[10];[];"[Kezdje ülni a földön hajlított lábakkal és a padlón. „; „Izomgörgő vagy sodrófa használatával nyomást gyakoroljon a lábak külső részén lévő izmokra. Dolgozzon közvetlenül a térd alól a boka felett; szüneteltetve a feszültségpontokon 10-30 másodpercig. Ismételje meg a másik lábon. ]";stretching;"[""Anterior_Tibialis-SMR/0.jpg""; ""Anterior_Tibialis-SMR/1.jpg""]";Anterior_Tibialis-SMR
24;Anti-Gravitációs Nyomás;push;beginner;compound;rúd;[2];"[9; 14; 6]";"[Helyezzen egy rudat a földre egy lejtős pad feje mögött. „; „Feküdj a padon arccal lefelé. Fejtett markolattal; vegye fel a súlyzót a padlóról. Hajlítsa meg a könyökét; fordított görbülést hajtson végre, hogy a rudat a mellkasához közelítse. Ez lesz a kiindulási pozíciód. „; „Először nyomja ki a súlyzót a feje elé a könyökének kinyújtásával. Tartsa karját párhuzamosan a talajjal a mozgás során. „; „Térjen vissza a kiindulási helyzetbe, és ismételje meg a készlet befejezéséhez.]";strength;"[""Anti-Gravity_Press/0.jpg""; ""Anti-Gravity_Press/1.jpg""]";Anti-Gravity_Press
25;Kar Körzés;push;beginner;isolation;;[2];[14];"[Álljon fel, és nyújtsa ki a karját egyenesen oldalra. A karoknak párhuzamosnak kell lenniük a padlóval és merőlegesnek (90 fokos szög) a törzsre. Ez lesz a kiindulási pozíciód. „; „Lassan kezdjejen el körülbelül 1 láb átmérőjű köröket készíteni minden kinyújtott karral. Lélegezzen normálisan a mozgás végrehajtása közben. „; „Folytassa a kinyújtott karok körkörös mozgását körülbelül tíz másodpercig. Ezután fordítsa meg a mozgást, az ellenkező irányba menjen. ]";stretching;"[""Arm_Circles/0.jpg""; ""Arm_Circles/1.jpg""]";Arm_Circles
26;Arnold Kézi Nyomás;push;intermediate;compound;kézisúlyzó;[2];[6];"[Üljön hátámasztással ellátott edzőpadra, és tartson két súlyzót előtted körülbelül a mellkas felső szintjén, tenyerével a testéhez nézve, könyökével hajlítva. Tipp: A karjainak a törzse mellett kell lenniük. A kiindulási helyzetnek úgy kell kinéznie, mint a súlyzó göndör összehúzott része. „; „Most a mozgás végrehajtásához; emelje fel a súlyzókat, miközben a tenyerét forgatja, amíg előre nem néznek. „; „Folytassa a súlyzók emelését, amíg a karjai egyenesen karhelyzetbe nem nyújtanak fölötted. Lélegezzen ki, miközben végrehajtja a mozgás ezen részét. „; „A tetején lévő második szünet után kezdjeje el a súlyzókat az eredeti helyzetbe engedni úgy, hogy a tenyerét feléd forgatja. Tipp: A bal karot az óramutató járásával ellentétes irányban forgatják, míg a jobb karot az óramutató járásával megegyező irányban forgatják. Lélegezzen be, miközben végrehajtja a mozgás ezen részét. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Arnold_Dumbbell_Press/0.jpg""; ""Arnold_Dumbbell_Press/1.jpg""]";Arnold_Dumbbell_Press
27;Vállkör;push;intermediate;compound;kézisúlyzó;[4];[2];"[Feküdjön le egy lapos padra, és mindkét kezében súlyzót tart, a tenyerével a mennyezet felé nézve. Tipp: A karjainak párhuzamosnak kell lenniük a padlóval és a combok mellett. A sérülések elkerülése érdekében ügyeljen arra, hogy a könyökét kissé hajlítsa. Ez lesz a kiindulási pozíciód. „; „Most mozgassa a súlyzókat egy félkör létrehozásával, miközben eltolja őket a kezdjeeti helyzetből a fej fölé. Az összes mozgásnak mindig a padlóval párhuzamos karokkal kell történnie. Lélegezzen be, miközben végrehajtja a mozgás ezen részét. „; „Fordítsa meg a mozgást, hogy kilégzéskor a súly kiindulási helyzetbe kerüljön.]";strength;"[""Around_The_Worlds/0.jpg""; ""Around_The_Worlds/1.jpg""]";Around_The_Worlds
28;Atlasz Kő Tréner;pull;intermediate;compound;egyéb;[11];"[7; 12; 13; 5; 1]";"[Ez az edző hatékonyan fejleszti az Atlas Stone szilárdságát azok számára, akik nem férnek hozzá kövekhez; és általában rúdvégekből vagy nehéz csövekből készülnek. „; „Kezdje azzal, hogy a kívánt súlyt betölti a rúdra. Fordítsa át a súlyt; tekerje a karját a szerszám köré; hajlítsa meg a csípőnél. „; „Kezdje azzal, hogy a súlyt a térdre húzza fel; nyúljon át a csípőn. Ahogy a súly megtisztítja a térdeket, akkor a combodra támasztja és hátra ülve, szorosan a mellkasához öleli meg. „; „Fejezze be a mozgást úgy, hogy kinyújtja a csípőjét és a térdét, hogy a lehető legmagasabbra emelje a súlyt. Az egymást követő ismétlésekhez a súly visszaállítható az körbe vagy a földre.”";strongman;"[""Atlas_Stone_Trainer/0.jpg""; ""Atlas_Stone_Trainer/1.jpg""]";Atlas_Stone_Trainer
29;Atlasz Kövek;pull;expert;compound;egyéb;[11];"[3; 15; 7; 10; 12; 13; 5; 9; 1; 14]";"[Kezdje az atlasz kővel a lábad között. Hajlítsa meg a csípőjét, hogy függőlegesen tekerje a karjait az Atlaszkő köré; próbálja meg ujjait a kő alá helyezni. Sok kő alján egy kis lapos rész lesz; ami megkönnyíti a kő tartását. „; „Húzd be a követ a törzsedbe; hajts át a lábad hátsó felén, hogy húzd ki a követ a földről. „; „Ahogy a kő áthalad a térdeken, ölelje le hátrafelé ülve, és húzza a követ a combod tetejére. „; „Ülj le alacsonyan, és tedd magasan a követ a mellkasodra, miközben megváltoztatod a markolatát, hogy átnyúlj a kő fölé. Állj, csípőjével vezetj át. Közeli távolság a rakodóplatformtól; és hátra hajoljon; hosszabbítsa ki a csípőt, hogy a kő a lehető legmagasabbra jusson. ]";strongman;"[""Atlas_Stones/0.jpg""; ""Atlas_Stones/1.jpg""]";Atlas_Stones
30;Tengelyes Felhúzás;pull;intermediate;compound;egyéb;[11];"[12; 13; 5; 9; 1; 14]";"[Keresse meg a rúdot úgy, hogy az a lábad fölé helyezkedjen. A lábadnak körülbelül csípőszélességűnek kell lennie egymástól. Hajlítsa meg a csípőbe, hogy vállszélességben megragadja a rudat, lehetővé téve a vállpengék kinyúlását. Általában; túl/alsó markolatot használna. „; „A lábaddal és a markolatával vegyen egy nagy lélegzetet, majd engedje le a csípőjét, és hajlítsa meg a térdét, amíg a lábad nem érintkezik a rúddal. Nézzen előre a fejével; tartsa fel a mellkasát és ívelt hátát; és kezdjejen el végigvezetni a sarokon, hogy felfelé mozgassa a súlyt. „; „Miután a rúd áthalad a térden; agresszíven húzza vissza a rudat; húzza össze a vállpengét, miközben a csípőjét előre hajtja a rúdba. „; „Engedje le a rudat úgy, hogy hajlítsa meg a csípőt, és vezesse a padlóra.]";strongman;"[""Axle_Deadlift/0.jpg""; ""Axle_Deadlift/1.jpg""]";Axle_Deadlift
31;Hátsó Delt Flyes – Szalaggal;pull;beginner;compound;gumiszalag;[2];"[9; 6]";"[Futtasson egy szalagot egy álló oszlop körül, mint például a guggoló állványé. „; „Fogja meg a szalagot a fogantyúknál, és álljon hátra, hogy a feszültség a szalagban emelkedjen. „; „Nyújtsa ki és emelje fel a karokat egyenesen előtted. Tipp: A karjainak egyenesnek és párhuzamosnak kell lenniük a padlóval, miközben merőlegesnek kell lenniük a törzsre. A lábát szilárdan a padlóra kell ültetni, vállszélességgel. Ez lesz a kiindulási pozíciód. „; „Kilégzés közben mozgassa a karját oldalra és hátra. Tartsa kinyújtott karját a padlóval párhuzamosan. Folytassa a mozgást, amíg a karok az oldalára nem nyúlnak. „; „Szünet után; lélegezés közben menjen vissza az eredeti helyzetbe. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Back_Flyes_-_With_Bands/0.jpg""; ""Back_Flyes_-_With_Bands/1.jpg""]";Back_Flyes_-_With_Bands
32;Hátra Húzás;pull;beginner;compound;egyéb;[1];"[10; 12; 13; 5; 11]";"[Töltsön be a kívánt súlyú szánkot; kötelet vagy hevedereket rögzítsen a szánhoz, amelyet megtarthat. „; „Kezdje el a gyakorlatot hátrafelé haladva egy adott távolságra. Hátradőlve, rövid lépésekkel nyúljon át a lábakon, hogy a lehető leggyorsabban mozogjon.”]";strongman;"[""Backward_Drag/0.jpg""; ""Backward_Drag/1.jpg""]";Backward_Drag
33;Hátra Orvosi Labda Dobás;push;beginner;compound;medicinalabda ;[2];[];"[Ezt a gyakorlatot legjobban egy partnerrel lehet elvégezni. Ha hiányzik partner; a labdát el lehet dobni és visszahúzni, vagy falhoz dobni. „; „Kezdjen állni néhány méterrel a partnere előtt; mindkettő ugyanabba az irányba néz. Kezdje el tartani a labdát a lábad között. „; „Guggolj le, majd erőteljesen fordítsa meg az irányt; teljes hosszabbításhoz érve dobja a labdát a fejedre a partnerének. „; „A partnered ezután visszafordíthatja a labdát hozzád. Ismételje meg a kívánt számú ismétlést. ]";plyometrics;"[""Backward_Medicine_Ball_Throw/0.jpg""; ""Backward_Medicine_Ball_Throw/1.jpg""]";Backward_Medicine_Ball_Throw
34;Egyensúly Deszka;;beginner;compound;egyéb;[10];"[5; 1]";"[Helyezzen elé egy mérlegtáblát. „; „Állj fel rá, és próbálja meg egyensúlyba hozni magát. „; „Tartsa az egyensúlyt addig, ameddig csak kívánja.]";strength;"[""Balance_Board/0.jpg""; ""Balance_Board/1.jpg""]";Balance_Board
35;Labda Lábhajlítás;pull;beginner;isolation;fitneszlabda ;[5];"[10; 13]";"[Kezdje a padlón fekni a hátadon, lábával a labda tetején. „; „Helyezze a labdát úgy, hogy amikor a lábad kinyújtják, a bokája a labda tetején legyen. Ez lesz a kiindulási pozíciód. „; „Emelje le a csípőjét a földről, tartsa súlyát a lapockán és a lábadon. „; „Hajlítsa meg a térdet; húzza meg a labdát a lehető legközelebb hozzád; összehúzza a hamstringokat. „; „Rövid szünet után; térjen vissza a kiindulási helyzetbe.]";strength;"[""Ball_Leg_Curl/0.jpg""; ""Ball_Leg_Curl/1.jpg""]";Ball_Leg_Curl
36;Szalaggal Segített Húzódzkodás;;beginner;compound;egyéb;[8];"[3; 12; 9]";"[Fojtsa meg a szalagot a húzórúd közepén. Különböző sávokat használhat különböző szintű segítségnyújtáshoz. „; „Húzza le a szalag végét; és helyezze az egyik hajlított térdet a hurokba, ügyelve arra, hogy ne csússzon ki. Vegyen közepes vagy széles markolattal a rudat. Ez lesz a kiindulási pozíciód. „; „Húzza fel magát felfelé úgy, hogy összehúzza a látokat, miközben hajlítja a könyöket. A könyöket az oldalára kell hajtani. Húzza előre; megpróbálja az állát a rúd fölé helyezni. Kerülje a lengő vagy rángató mozgásokat. „; „Rövid szünet után; térjen vissza a kiindulási helyzetbe.]";strength;"[""Band_Assisted_Pull-Up/0.jpg""; ""Band_Assisted_Pull-Up/1.jpg""]";Band_Assisted_Pull-Up
37;Szalagos Jó Reggelt;pull;beginner;compound;gumiszalag;[5];"[13; 11]";"[41 hüvelykes sáv használata; állj az egyik végén; kis mennyiségben terítsd el a lábát. Hajlítsa meg a csípőjét, hogy a szalag végét a nyaka mögött húzza. Ez lesz a kiindulási pozíciód. „; „A lábad egyenesen tartva; nyúljon át a csípőn, hogy közel függőleges helyzetbe kerüljön. „; „Győződjön meg arról, hogy ne kerekítse a hátát, amikor visszamegy a kiindulási helyzetbe.]";powerlifting;"[""Band_Good_Morning/0.jpg""; ""Band_Good_Morning/1.jpg""]";Band_Good_Morning
